i,group,x
0,1,29.8
1,1,33.3
2,0,30.9
3,1,32.2
4,0,31.1
5,0,29.3
6,1,31.5
7,1,31.7
8,1,31.4
9,1,31.4
10,1,32
11,1,32.2
12,0,30.4
13,0,32
14,1,32.2
15,1,33.2
16,1,32.1
17,1,34
18,1,33.2
19,0,29.5
20,1,31
21,0,30.4
22,1,32.2
23,1,31.7
24,1,33.1
25,1,33.6
26,1,30.5
27,1,31.8
28,1,33.1
29,0,30.7
30,1,35.3
31,0,31.4
32,1,32.1
33,1,32.7
34,1,32.3
35,1,33.9
36,0,30.2
37,1,32.2
38,1,31.2
39,1,32.1
40,1,31.5
41,1,32.3
42,1,32.5
43,0,30
44,1,33
45,1,32.2
46,0,31.4
47,1,30.9
48,1,32.2
49,0,30.4
50,1,32.8
51,1,31.1
52,1,30.8
53,1,32.3
54,1,31.4
55,1,31.1
56,0,29.5
57,0,29.3
58,1,30.6
59,0,31.8
60,1,34.4
61,1,30.2
62,1,32.8
63,1,31.9
64,1,31.3
65,1,31.3
66,1,33.5
67,0,29.5
68,0,30.1
69,1,33
70,0,27.2
71,0,30.2
72,1,32.2
73,0,30.2
74,0,29.9
75,1,30.7
76,1,33.4
77,0,30.3
78,0,28.5
79,1,33
80,0,29.3
81,1,32.8
82,1,30.8
83,1,31.7
84,0,29.6
85,1,31.3
86,1,30.5
87,1,31.5
88,1,32.5
89,1,32
90,1,32.8
91,1,33
92,1,30.2
93,1,33.3
94,0,28.8
95,1,31.5
96,0,29.8
97,0,28.2
98,1,32.5
99,0,29.5
100,1,31.8
101,0,30.9
102,1,32.7
103,0,29.9
104,1,32
105,1,34.5
106,1,33.4
107,1,29.3
108,1,32.1
109,1,32.5
110,1,29.5
111,1,32.6
112,0,30.7
113,1,32
114,0,29.4
115,0,30.1
116,1,31.4
117,1,33.3
118,1,32.8
119,1,30.7
120,1,30.7
121,1,33.2
122,0,29.7
123,1,33.1
124,1,32.2
125,1,32.7
126,1,32.2
127,0,30.3
128,1,33
129,1,32.4
130,1,32.5
131,1,30.5
132,1,31.6
133,1,33
134,1,31.1
135,1,31.2
136,1,31.6
137,1,31.9
138,1,34.2
139,0,29.1
140,0,30.5
141,1,29.6
142,0,30.3
143,1,32
144,1,33.2
145,1,31.7
146,0,29.6
147,1,32.2
148,1,33.6
149,0,29.2
150,1,31.5
151,1,30.5
152,1,34.1
153,1,31.7
154,1,33.4
155,0,28.8
156,1,31
157,1,34.1
158,0,30.4
159,1,32.2
160,1,32.9
161,0,31.8
162,1,31
163,1,32.5
164,1,32.3
165,0,29.3
166,1,31.3
167,1,31.9
168,0,30.1
169,0,31.2
170,1,30.2
171,0,29.2
172,1,32.4
173,0,31
174,0,27.7
175,0,30.3
176,0,30.1
177,1,32.3
178,1,33
179,0,29.4
180,1,32.7
181,0,30.6
182,1,31.8
183,0,28.7
184,1,33.3
185,1,32.6
186,1,31.5
187,1,31.3
188,0,30.5
189,1,31.2
190,1,31.2
191,0,29.2
192,0,30.4
193,1,31
194,1,32.3
195,1,32
196,1,31.7
197,1,31.3
198,0,31.8
199,0,28.9
200,1,31.9
201,0,30.5
202,0,27.9
203,0,29.9
204,1,32.7
205,1,31.2
206,1,31.3
207,1,31.7
208,1,32
209,1,30.4
210,1,31.9
211,1,32.8
212,1,32.7
213,1,32.6
214,1,33.8
215,1,32.1
216,1,31.3
217,1,33.2
218,1,32.9
219,1,31.3
220,1,32.5
221,0,30.4
222,1,31.7
223,0,32.1
224,1,32.2
225,1,32.7
226,1,32
227,1,31
228,1,32.4
229,1,33.1
230,0,29.2
231,1,30.1
232,1,33.4
233,1,31.1
234,0,28.4
235,1,32.7
236,0,29.6
237,1,31.5
238,0,30.5
239,1,31.6
240,1,33.1
241,1,31.4
242,1,32.6
243,1,31.9
244,1,30.4
245,0,30.9
246,1,31.7
247,1,32.4
248,0,28.7
249,1,32.1
250,1,31.8
251,0,30.7
252,0,29.2
253,0,29.4
254,1,33.7
255,0,31.2
256,0,30
257,0,29.9
258,1,31.7
259,1,32
260,0,29.8
261,0,32.1
262,0,29.3
263,1,31.7
264,1,32.3
265,0,30.8
266,1,33.1
267,0,30.7
268,1,31.8
269,1,33.3
270,1,32
271,1,31.4
272,0,30.2
273,1,33.8
274,1,32.2
275,0,30.7
276,1,34.3
277,1,32.7
278,0,30.9
279,1,30.9
280,0,30.8
281,1,30.7
282,0,31.4
283,1,31.5
284,0,30.7
285,0,29.4
286,1,31.8
287,1,31.5
288,1,31.9
289,0,29.6
290,1,32.4
291,0,31.8
292,1,32.9
293,1,31.7
294,1,32
295,0,26.3
296,1,31.5
297,1,35.4
298,1,32.4
299,0,30.6
300,1,32.7
301,1,31.7
302,1,32.7
303,1,30
304,0,29.2
305,0,29.9
306,1,31.9
307,0,30.5
308,1,30.7
309,0,31.1
310,1,32.7
311,1,31.3
312,1,29.6
313,0,29.6
314,1,31.6
315,1,31
316,0,29.6
317,0,29.8
318,1,33.9
319,1,33
320,1,32.7
321,0,30.3
322,0,28.8
323,1,30.8
324,1,31.2
325,0,31.2
326,1,32.2
327,1,32.5
328,1,33.3
329,1,33
330,1,32.5
331,1,31.1
332,1,32.4
333,0,28.3
334,0,31.2
335,1,32.4
336,1,31.6
337,0,30.8
338,1,30.5
339,1,32.6
340,1,32.7
341,1,32
342,0,31.9
343,1,34.3
344,0,28.8
345,1,32
346,0,29.7
347,0,29.5
348,1,31.5
349,0,30.7
350,0,29.7
351,0,31
352,1,32.2
353,1,30.9
354,1,31.5
355,1,31.3
356,0,28.6
357,1,31.2
358,1,32.1
359,1,32.7
360,0,31.8
361,0,31.5
362,1,33
363,0,30.6
364,0,30.9
365,0,29.3
366,0,29.3
367,1,33.8
368,1,30.4
369,1,32
370,0,29.9
371,1,32.1
372,0,31.3
373,0,30
374,1,31
375,1,32.5
376,0,31.5
377,1,32.5
378,0,30
379,1,33
380,1,33.9
381,0,30.5
382,0,29
383,1,33.9
384,1,32.6
385,1,34.1
386,0,30
387,1,32.6
388,0,29.9
389,0,29.7
390,1,32
391,1,31.6
392,1,30.7
393,1,32.9
394,1,32
395,0,29.2
396,0,30.2
397,1,32.2
398,1,31.2
399,1,31.3
400,1,32.5
401,1,34.2
402,1,31.9
403,0,30.7
404,1,33.6
405,0,30.8
406,1,29.9
407,1,33.2
408,0,29.5
409,0,30.7
410,1,31.3
411,1,32.1
412,1,31
413,1,32.6
414,0,31.5
415,1,33.7
416,1,32.3
417,1,34.2
418,1,30
419,1,31.6
420,0,29.9
421,1,31.8
422,0,30.1
423,1,30.7
424,1,32.5
425,1,31.5
426,1,31.2
427,0,31.2
428,1,32.5
429,0,30
430,1,33.5
431,1,33.8
432,1,33.1
433,0,28.3
434,0,28.6
435,1,33.7
436,0,30.8
437,1,31.8
438,1,31.7
439,1,32.4
440,1,32.8
441,1,31.6
442,1,30.2
443,1,33.2
444,0,30.5
445,1,32.3
446,1,31.8
447,1,31.4
448,1,33.3
449,0,31
450,0,30.6
451,1,32.1
452,0,29.7
453,0,29.3
454,1,33.5
455,1,32.4
456,1,32
457,1,30.8
458,1,30.4
459,1,31.6
460,0,28.8
461,1,33.7
462,1,31.4
463,0,31.6
464,1,32
465,1,32.5
466,1,31.5
467,1,33
468,1,32.5
469,1,31.5
470,1,32.3
471,1,32.1
472,1,33.6
473,1,32.2
474,1,31.3
475,1,31.7
476,1,34.5
477,0,30.4
478,1,32.8
479,1,32.2
480,0,29.9
481,1,31.3
482,1,32
483,1,32.5
484,1,32.6
485,1,32.5
486,0,29.5
487,0,29.5
488,1,33.5
489,1,30.3
490,1,31.2
491,1,34.3
492,1,31.7
493,0,29.2
494,0,29
495,1,32.5
496,1,30.8
497,1,32.2
498,1,33.2
499,1,30.8
500,1,32.9
501,1,30.2
502,1,33.1
503,1,33.9
504,0,30.1
505,1,32.8
506,1,33
507,1,30.3
508,1,33.6
509,0,29.7
510,1,31
511,1,33.3
512,1,30.3
513,0,30.5
514,1,31.4
515,1,30.8
516,1,30.3
517,1,32.9
518,1,32.2
519,0,29.9
520,1,32
521,0,30.9
522,0,28.5
523,1,32.9
524,1,30
525,1,31
526,1,32.2
527,0,29.4
528,1,29.9
529,1,30.4
530,0,30.6
531,1,30.7
532,1,32.3
533,1,32.4
534,1,32.4
535,1,31.4
536,1,31
537,1,32.1
538,1,31.9
539,1,33
540,1,30.9
541,0,30
542,0,31.1
543,1,31.7
544,0,28.2
545,1,30.9
546,1,32.6
547,0,28.8
548,1,32.9
549,1,32.9
550,1,30.2
551,1,31.4
552,0,29.7
553,0,30.2
554,1,31.9
555,0,30
556,1,29.6
557,0,30.2
558,1,31.2
559,0,29.9
560,0,30.4
561,1,31.3
562,1,32.9
563,1,31.1
564,0,29.1
565,0,30.2
566,0,30.6
567,1,33.5
568,0,28.5
569,1,32.4
570,1,31.2
571,1,32.6
572,0,30.2
573,1,33.3
574,1,31.4
575,1,32.9
576,1,33
577,1,33.4
578,1,32.2
579,1,33.5
580,1,32.5
581,1,32.1
582,1,31.7
583,1,32.4
584,0,29.9
585,1,30.7
586,1,31.7
587,1,32.7
588,0,28.2
589,1,32.7
590,1,32.7
591,1,32.8
592,0,29
593,1,32.3
594,1,32.7
595,1,31.8
596,0,30.3
597,1,30.4
598,0,30.4
599,1,30.6
600,1,30.4
601,1,31.3
602,0,29.5
603,1,33.1
604,1,32.1
605,1,31.6
606,0,31.4
607,0,29.6
608,0,28.6
609,0,29.8
610,1,32.8
611,1,32.4
612,1,30.9
613,0,30.3
614,1,31.5
615,1,30.7
616,1,32.1
617,1,33.9
618,1,32.8
619,0,30
620,1,32.6
621,1,30.9
622,0,28.9
623,1,34
624,1,31.8
625,0,29.2
626,0,30.6
627,1,30.5
628,1,30.8
629,1,33.3
630,1,33.3
631,1,31.6
632,0,32
633,0,30.3
634,0,30.7
635,0,30.6
636,1,34.1
637,0,30.2
638,1,32.7
639,1,31.2
640,1,30.5
641,1,31.4
642,1,32.9
643,1,32.2
644,1,32.1
645,1,30.4
646,1,32.8
647,1,31.5
648,1,32.2
649,1,32.3
650,1,32.4
651,0,30.5
652,1,32.7
653,0,29.8
654,0,30.3
655,1,31.4
656,1,31.6
657,0,28.7
658,1,31.6
659,0,30.6
660,1,31.9
661,0,29.3
662,1,31.2
663,0,29.9
664,0,28.9
665,1,30
666,1,31.5
667,1,31.8
668,0,30.1
669,0,30.9
670,1,31.5
671,1,33.3
672,0,30
673,1,32.8
674,1,32.1
675,1,32.8
676,0,31.6
677,1,31.8
678,0,29.6
679,0,29.4
680,0,31.4
681,1,34.2
682,1,33.9
683,1,30.2
684,1,32.4
685,1,32.6
686,1,31.7
687,0,29.8
688,1,31.3
689,0,29
690,1,31.4
691,1,31.6
692,1,33.1
693,1,32.8
694,1,30.9
695,1,33.1
696,1,32.4
697,1,29.5
698,0,28.4
699,1,32.7
700,1,33.1
701,0,29.6
702,1,32.7
703,0,29.9
704,1,31.1
705,1,33
706,1,30.8
707,0,29.1
708,1,31.8
709,1,30
710,1,31.8
711,1,30.6
712,1,33.2
713,1,33.2
714,0,27.9
715,1,33.3
716,1,31.9
717,1,31.9
718,0,30.2
719,0,30.2
720,0,29.4
721,0,29.5
722,0,30.5
723,0,31.5
724,1,31.8
725,1,32
726,0,32
727,1,31.3
728,0,30.7
729,1,32.2
730,1,31.6
731,0,30.4
732,1,30.7
733,0,29.8
734,1,32
735,0,30.1
736,1,32.4
737,1,32.1
738,1,32.5
739,1,32.9
740,1,31.2
741,1,31.6
742,0,29.6
743,1,31.5
744,1,32.6
745,1,32.8
746,0,29
747,1,32.2
748,0,31.1
749,1,32.7
750,0,31
751,0,29.5
752,0,30.1
753,0,29.6
754,1,32.2
755,1,31.1
756,1,31.9
757,1,31.5
758,0,30.5
759,1,32
760,0,30.1
761,0,31.2
762,1,32.4
763,0,29.6
764,1,31.4
765,1,32.9
766,0,29.3
767,1,32.3
768,1,33.8
769,1,30.8
770,1,32.5
771,1,30.7
772,0,32.2
773,1,33.5
774,1,32.7
775,1,32.7
776,1,32.1
777,0,30.4
778,1,32.2
779,1,31.7
780,1,33.7
781,1,31.4
782,0,29.8
783,1,32.3
784,1,32.6
785,1,31.7
786,1,30.8
787,1,32.5
788,0,28.7
789,0,29.3
790,1,31.5
791,1,32.6
792,1,31.4
793,1,31.7
794,1,32.3
795,1,32
796,1,31.9
797,0,29.6
798,1,31.7
799,1,31.6
800,1,33.5
801,0,29.3
802,1,32.8
803,1,32.5
804,1,32.6
805,1,34.2
806,1,33
807,0,31.8
808,0,30.4
809,1,32.5
810,0,29.9
811,1,32.4
812,1,34.9
813,1,33.2
814,0,30.4
815,1,31.5
816,1,32.4
817,0,30.4
818,1,32.3
819,1,31.7
820,1,32.5
821,0,30.2
822,1,32.6
823,1,31.8
824,1,32.6
825,1,32.3
826,0,28.1
827,1,31.1
828,0,28.9
829,0,28.6
830,1,32
831,1,31.2
832,1,31.4
833,1,31.5
834,1,30.9
835,1,33.1
836,0,31.1
837,0,28.7
838,1,31.8
839,0,29.9
840,0,30.6
841,1,31.3
842,1,31.5
843,0,30.9
844,1,30.2
845,1,32.7
846,1,34.7
847,1,31.2
848,0,31.7
849,0,29.7
850,1,30.9
851,1,29.5
852,1,32.7
853,1,33.7
854,0,31.4
855,1,33.2
856,1,30.5
857,0,29.7
858,0,30.4
859,1,32
860,0,30
861,1,31.4
862,1,31.1
863,0,30.8
864,1,30.4
865,0,29.6
866,0,32.1
867,1,30.6
868,0,30.4
869,1,32.6
870,1,30.5
871,1,31.2
872,1,30.7
873,1,34
874,0,30.1
875,1,30.4
876,1,32.7
877,1,32.6
878,1,33
879,1,33.8
880,1,30.8
881,1,31.7
882,1,32.5
883,1,31.5
884,1,30.8
885,1,32.3
886,1,31.6
887,1,32.6
888,0,29.4
889,1,30.5
890,1,34.6
891,1,32.8
892,1,31.9
893,1,31.7
894,1,31.2
895,0,30.6
896,1,31.9
897,1,33.5
898,1,31.8
899,0,30.6
900,1,31.6
901,1,33.4
902,1,31.9
903,1,33.3
904,1,32
905,0,28.2
906,1,29.9
907,1,34.8
908,1,32.1
909,1,31.7
910,0,28.5
911,1,32.8
912,1,31.6
913,0,29.2
914,1,32.4
915,0,28
916,1,32.8
917,0,30.5
918,1,33.3
919,1,31.7
920,1,32.9
921,0,29.2
922,0,30.7
923,1,30.9
924,1,30.4
925,1,31.6
926,1,31.4
927,1,32.9
928,0,28.9
929,0,31.2
930,1,32.2
931,1,31.7
932,1,31.5
933,1,30.5
934,1,31.7
935,1,31.8
936,1,30.7
937,1,31
938,1,29.3
939,0,30.1
940,0,31.2
941,1,32.1
942,0,30.3
943,0,30.2
944,1,30.9
945,0,29.6
946,1,31.7
947,1,33.5
948,0,30.4
949,1,33
950,1,32
951,0,28.2
952,1,32
953,1,33.6
954,0,31.6
955,1,33.3
956,1,32.6
957,1,33.5
958,1,31.8
959,1,31.2
960,1,31.5
961,0,31
962,0,30.1
963,1,31.7
964,1,32.4
965,1,31.5
966,0,30.8
967,0,28.3
968,0,27.9
969,0,29.9
970,1,30.3
971,0,27.7
972,1,30.5
973,1,30.6
974,1,32
975,1,29.1
976,1,31.4
977,1,33.7
978,0,31.1
979,0,29.9
980,1,32
981,1,33.1
982,0,29.3
983,1,32.2
984,1,33.2
985,0,30.6
986,0,29.8
987,1,32.1
988,1,34.6
989,0,31.6
990,1,32.5
991,0,28.8
992,1,32.8
993,1,30.7
994,1,31.6
995,1,32.7
996,0,29.6
997,1,31.5
998,1,30.1
999,0,28.8
1000,0,30.6
